FutScen,CMincrease,IPTcov,futITNcov,futSNPcov,futIRScov,FutureScenarios,FutScen_nr,futITNlabel,futSNPlabel,futITNdep,futCMlabel,futMDAlabel,futIRSlabel,futLARVlabel,futIPTSClabel,ITNint,CMITN,CMITN2,CMITNIRS,FutScen_label1,FutScen_label2,FutScen_label,FutScen_label_cov,FutScen_label3,nInt,IRScov,MDAcov,LARVcov,MDALARVIRS,ITN_uniqFutScen,CMITN_uniqFutScenLabel
@Access2016@-50-0-85-0-addMDA,@Access2016@,0,50,0,85,addMDA,11,ITN mass campaign,no ITN continuous,mass-campaign,current case management,MDA,IRS,no LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and  IRS",current case management-ITN mass campaign-no ITN continuous-IRS-no LARV-MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-MDA-no IPTsc",ITN MRC-IRS-MDA,CM-current MRC-50 IRS-85 LARV- MDA-,current case management-ITN MRC cov 50-ITN continuous cov 0-IRS-no LARV-no IPTsc,3,0.85,0.95,0,MDA 95%,50-0,MDA & IRS
@Access2016@-50-0-85-0-onlyCMandITN,@Access2016@,0,50,0,85,onlyCMandITN,12,ITN mass campaign,no ITN continuous,mass-campaign,current case management,no MDA,IRS,no LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and  IRS",current case management-ITN mass campaign-no ITN continuous-IRS-no LARV-no MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-no MDA-no IPTsc",ITN MRC-IRS,CM-current MRC-50 IRS-85 LARV- MDA-,current case management-ITN MRC cov 50-ITN continuous cov 0-IRS-no LARV-no IPTsc,2,0.85,0,0,none,50-0,IRS
@Access2016@-80-0-0-0-addLARV,@Access2016@,0,80,0,0,addLARV,13,ITN mass campaign,no ITN continuous,mass-campaign,current case management,no MDA,no IRS,LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and no IRS",current case management-ITN mass campaign-no ITN continuous-no IRS-LARV-no MDA-no IPTsc,"no increase in CM, ITN-no IRS-LARV-no MDA-no IPTsc",ITN MRC-LARV,CM-current MRC-80 LARV- MDA-,current case management-ITN MRC cov 80-ITN continuous cov 0-no IRS-LARV-no IPTsc,2,0,0,0.8,LARV 80%,80-0,LARV
@Access2016@-80-0-0-0-addMDA,@Access2016@,0,80,0,0,addMDA,14,ITN mass campaign,no ITN continuous,mass-campaign,current case management,MDA,no IRS,no LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and no IRS",current case management-ITN mass campaign-no ITN continuous-no IRS-no LARV-MDA-no IPTsc,"no increase in CM, ITN-no IRS-no LARV-MDA-no IPTsc",ITN MRC-MDA,CM-current MRC-80 LARV- MDA-,current case management-ITN MRC cov 80-ITN continuous cov 0-no IRS-no LARV-no IPTsc,2,0,0.95,0,MDA 95%,80-0,MDA
@Access2016@-80-0-0-0-onlyCMandITN,@Access2016@,0,80,0,0,onlyCMandITN,15,ITN mass campaign,no ITN continuous,mass-campaign,current case management,no MDA,no IRS,no LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and no IRS",current case management-ITN mass campaign-no ITN continuous-no IRS-no LARV-no MDA-no IPTsc,"no increase in CM, ITN-no IRS-no LARV-no MDA-no IPTsc",ITN MRC,CM-current MRC-80 LARV- MDA-,current case management-ITN MRC cov 80-ITN continuous cov 0-no IRS-no LARV-no IPTsc,1,0,0,0,none,80-0,ITN/CM only
@Access2016@-80-0-85-0-addLARV,@Access2016@,0,80,0,85,addLARV,16,ITN mass campaign,no ITN continuous,mass-campaign,current case management,no MDA,IRS,LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and  IRS",current case management-ITN mass campaign-no ITN continuous-IRS-LARV-no MDA-no IPTsc,"no increase in CM, ITN-IRS-LARV-no MDA-no IPTsc",ITN MRC-IRS-LARV,CM-current MRC-80 IRS-85 LARV- MDA-,current case management-ITN MRC cov 80-ITN continuous cov 0-IRS-LARV-no IPTsc,3,0.85,0,0.8,LARV 80%,80-0,LARV & IRS
@Access2016@-80-0-85-0-addMDA,@Access2016@,0,80,0,85,addMDA,17,ITN mass campaign,no ITN continuous,mass-campaign,current case management,MDA,IRS,no LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and  IRS",current case management-ITN mass campaign-no ITN continuous-IRS-no LARV-MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-MDA-no IPTsc",ITN MRC-IRS-MDA,CM-current MRC-80 IRS-85 LARV- MDA-,current case management-ITN MRC cov 80-ITN continuous cov 0-IRS-no LARV-no IPTsc,3,0.85,0.95,0,MDA 95%,80-0,MDA & IRS
@Access2016@-80-0-85-0-onlyCMandITN,@Access2016@,0,80,0,85,onlyCMandITN,18,ITN mass campaign,no ITN continuous,mass-campaign,current case management,no MDA,IRS,no LARV,no IPTsc,ITN mass campaign,"no increase in CM, ITN","no increase in CM, ITN-MRC","no increase in CM, ITN and  IRS",current case management-ITN mass campaign-no ITN continuous-IRS-no LARV-no MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-no MDA-no IPTsc",ITN MRC-IRS,CM-current MRC-80 IRS-85 LARV- MDA-,current case management-ITN MRC cov 80-ITN continuous cov 0-IRS-no LARV-no IPTsc,2,0.85,0,0,none,80-0,IRS
@Access2016@-0-40-0-0-addLARV,@Access2016@,0,0,40,0,addLARV,19,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,no IRS,LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and no IRS",current case management-no ITN mass campaign-ITN continuous-no IRS-LARV-no MDA-no IPTsc,"no increase in CM, ITN-no IRS-LARV-no MDA-no IPTsc",ITN continuous-LARV,CM-current SNP-40 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 40-no IRS-LARV-no IPTsc,2,0,0,0.8,LARV 80%,0-40,LARV
@Access2016@-0-40-0-0-addMDA,@Access2016@,0,0,40,0,addMDA,20,no ITN mass campaign,ITN continuous,continuous,current case management,MDA,no IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and no IRS",current case management-no ITN mass campaign-ITN continuous-no IRS-no LARV-MDA-no IPTsc,"no increase in CM, ITN-no IRS-no LARV-MDA-no IPTsc",ITN continuous-MDA,CM-current SNP-40 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 40-no IRS-no LARV-no IPTsc,2,0,0.95,0,MDA 95%,0-40,MDA
@Access2016@-0-40-0-0-onlyCMandITN,@Access2016@,0,0,40,0,onlyCMandITN,21,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,no IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and no IRS",current case management-no ITN mass campaign-ITN continuous-no IRS-no LARV-no MDA-no IPTsc,"no increase in CM, ITN-no IRS-no LARV-no MDA-no IPTsc",ITN continuous,CM-current SNP-40 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 40-no IRS-no LARV-no IPTsc,1,0,0,0,none,0-40,ITN/CM only
@Access2016@-0-40-85-0-addLARV,@Access2016@,0,0,40,85,addLARV,22,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,IRS,LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and  IRS",current case management-no ITN mass campaign-ITN continuous-IRS-LARV-no MDA-no IPTsc,"no increase in CM, ITN-IRS-LARV-no MDA-no IPTsc",ITN continuous-IRS-LARV,CM-current SNP-40 IRS-85 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 40-IRS-LARV-no IPTsc,3,0.85,0,0.8,LARV 80%,0-40,LARV & IRS
@Access2016@-0-40-85-0-addMDA,@Access2016@,0,0,40,85,addMDA,23,no ITN mass campaign,ITN continuous,continuous,current case management,MDA,IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and  IRS",current case management-no ITN mass campaign-ITN continuous-IRS-no LARV-MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-MDA-no IPTsc",ITN continuous-IRS-MDA,CM-current SNP-40 IRS-85 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 40-IRS-no LARV-no IPTsc,3,0.85,0.95,0,MDA 95%,0-40,MDA & IRS
@Access2016@-0-40-85-0-onlyCMandITN,@Access2016@,0,0,40,85,onlyCMandITN,24,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and  IRS",current case management-no ITN mass campaign-ITN continuous-IRS-no LARV-no MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-no MDA-no IPTsc",ITN continuous-IRS,CM-current SNP-40 IRS-85 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 40-IRS-no LARV-no IPTsc,2,0.85,0,0,none,0-40,IRS
@Access2016@-0-70-0-0-addLARV,@Access2016@,0,0,70,0,addLARV,25,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,no IRS,LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and no IRS",current case management-no ITN mass campaign-ITN continuous-no IRS-LARV-no MDA-no IPTsc,"no increase in CM, ITN-no IRS-LARV-no MDA-no IPTsc",ITN continuous-LARV,CM-current SNP-70 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 70-no IRS-LARV-no IPTsc,2,0,0,0.8,LARV 80%,0-70,LARV
@Access2016@-0-70-0-0-addMDA,@Access2016@,0,0,70,0,addMDA,26,no ITN mass campaign,ITN continuous,continuous,current case management,MDA,no IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and no IRS",current case management-no ITN mass campaign-ITN continuous-no IRS-no LARV-MDA-no IPTsc,"no increase in CM, ITN-no IRS-no LARV-MDA-no IPTsc",ITN continuous-MDA,CM-current SNP-70 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 70-no IRS-no LARV-no IPTsc,2,0,0.95,0,MDA 95%,0-70,MDA
@Access2016@-0-70-0-0-onlyCMandITN,@Access2016@,0,0,70,0,onlyCMandITN,27,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,no IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and no IRS",current case management-no ITN mass campaign-ITN continuous-no IRS-no LARV-no MDA-no IPTsc,"no increase in CM, ITN-no IRS-no LARV-no MDA-no IPTsc",ITN continuous,CM-current SNP-70 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 70-no IRS-no LARV-no IPTsc,1,0,0,0,none,0-70,ITN/CM only
@Access2016@-0-70-85-0-addLARV,@Access2016@,0,0,70,85,addLARV,28,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,IRS,LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and  IRS",current case management-no ITN mass campaign-ITN continuous-IRS-LARV-no MDA-no IPTsc,"no increase in CM, ITN-IRS-LARV-no MDA-no IPTsc",ITN continuous-IRS-LARV,CM-current SNP-70 IRS-85 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 70-IRS-LARV-no IPTsc,3,0.85,0,0.8,LARV 80%,0-70,LARV & IRS
@Access2016@-0-70-85-0-addMDA,@Access2016@,0,0,70,85,addMDA,29,no ITN mass campaign,ITN continuous,continuous,current case management,MDA,IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and  IRS",current case management-no ITN mass campaign-ITN continuous-IRS-no LARV-MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-MDA-no IPTsc",ITN continuous-IRS-MDA,CM-current SNP-70 IRS-85 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 70-IRS-no LARV-no IPTsc,3,0.85,0.95,0,MDA 95%,0-70,MDA & IRS
@Access2016@-0-70-85-0-onlyCMandITN,@Access2016@,0,0,70,85,onlyCMandITN,30,no ITN mass campaign,ITN continuous,continuous,current case management,no MDA,IRS,no LARV,no IPTsc,ITN continuous,"no increase in CM, ITN","no increase in CM, ITN continuous","no increase in CM, ITN and  IRS",current case management-no ITN mass campaign-ITN continuous-IRS-no LARV-no MDA-no IPTsc,"no increase in CM, ITN-IRS-no LARV-no MDA-no IPTsc",ITN continuous-IRS,CM-current SNP-70 IRS-85 LARV- MDA-,current case management-ITN MRC cov 0-ITN continuous cov 70-IRS-no LARV-no IPTsc,2,0.85,0,0,none,0-70,IRS
0.6057272-0-0-0-0-addLARV,0.6057272,0,0,0,0,addLARV,31,no ITN mass campaign,no ITN continuous,no ITNs,85% treatment of cases,no MDA,no IRS,LARV,no IPTsc,no ITN,"increase in CM, no ITN","increase in CM, no ITN","increase in CM, no ITN and no IRS",85% treatment of cases-no ITN mass campaign-no ITN continuous-no IRS-LARV-no MDA-no IPTsc,"increase in CM, no ITN-no IRS-LARV-no MDA-no IPTsc",increase in CM-LARV,CM-85% LARV- MDA-,85% treatment of cases-ITN MRC cov 0-ITN continuous cov 0-no IRS-LARV-no IPTsc,2,0,0,0.8,LARV 80%,0-0,LARV
0.6057272-0-0-0-0-addMDA,0.6057272,0,0,0,0,addMDA,32,no ITN mass campaign,no ITN continuous,no ITNs,85% treatment of cases,MDA,no IRS,no LARV,no IPTsc,no ITN,"increase in CM, no ITN","increase in CM, no ITN","increase in CM, no ITN and no IRS",85% treatment of cases-no ITN mass campaign-no ITN continuous-no IRS-no LARV-MDA-no IPTsc,"increase in CM, no ITN-no IRS-no LARV-MDA-no IPTsc",increase in CM-MDA,CM-85% LARV- MDA-,85% treatment of cases-ITN MRC cov 0-ITN continuous cov 0-no IRS-no LARV-no IPTsc,2,0,0.95,0,MDA 95%,0-0,MDA
0.6057272-0-0-0-0-onlyCMandITN,0.6057272,0,0,0,0,onlyCMandITN,33,no ITN mass campaign,no ITN continuous,no ITNs,85% treatment of cases,no MDA,no IRS,no LARV,no IPTsc,no ITN,"increase in CM, no ITN","increase in CM, no ITN","increase in CM, no ITN and no IRS",85% treatment of cases-no ITN mass campaign-no ITN continuous-no IRS-no LARV-no MDA-no IPTsc,"increase in CM, no ITN-no IRS-no LARV-no MDA-no IPTsc",increase in CM,CM-85% LARV- MDA-,85% treatment of cases-ITN MRC cov 0-ITN continuous cov 0-no IRS-no LARV-no IPTsc,1,0,0,0,none,0-0,ITN/CM only
0.6057272-0-0-85-0-addLARV,0.6057272,0,0,0,85,addLARV,34,no ITN mass campaign,no ITN continuous,no ITNs,85% treatment of cases,no MDA,IRS,LARV,no IPTsc,no ITN,"increase in CM, no ITN","increase in CM, no ITN","increase in CM, no ITN and  IRS",85% treatment of cases-no ITN mass campaign-no ITN continuous-IRS-LARV-no MDA-no IPTsc,"increase in CM, no ITN-IRS-LARV-no MDA-no IPTsc",increase in CM-IRS-LARV,CM-85% IRS-85 LARV- MDA-,85% treatment of cases-ITN MRC cov 0-ITN continuous cov 0-IRS-LARV-no IPTsc,3,0.85,0,0.8,LARV 80%,0-0,LARV & IRS
0.6057272-0-0-85-0-addMDA,0.6057272,0,0,0,85,addMDA,35,no ITN mass campaign,no ITN continuous,no ITNs,85% treatment of cases,MDA,IRS,no LARV,no IPTsc,no ITN,"increase in CM, no ITN","increase in CM, no ITN","increase in CM, no ITN and  IRS",85% treatment of cases-no ITN mass campaign-no ITN continuous-IRS-no LARV-MDA-no IPTsc,"increase in CM, no ITN-IRS-no LARV-MDA-no IPTsc",increase in CM-IRS-MDA,CM-85% IRS-85 LARV- MDA-,85% treatment of cases-ITN MRC cov 0-ITN continuous cov 0-IRS-no LARV-no IPTsc,3,0.85,0.95,0,MDA 95%,0-0,MDA & IRS
0.6057272-0-0-85-0-onlyCMandITN,0.6057272,0,0,0,85,onlyCMandITN,36,no ITN mass campaign,no ITN continuous,no ITNs,85% treatment of cases,no MDA,IRS,no LARV,no IPTsc,no ITN,"increase in CM, no ITN","increase in CM, no ITN","increase in CM, no ITN and  IRS",85% treatment of cases-no ITN mass campaign-no ITN continuous-IRS-no LARV-no MDA-no IPTsc,"increase in CM, no ITN-IRS-no LARV-no MDA-no IPTsc",increase in CM-IRS,CM-85% IRS-85 LARV- MDA-,85% treatment of cases-ITN MRC cov 0-ITN continuous cov 0-IRS-no LARV-no IPTsc,2,0.85,0,0,none,0-0,IRS
0.6057272-50-0-0-0-addLARV,0.6057272,0,50,0,0,addLARV,37,ITN mass campaign,no ITN continuous,mass-campaign,85% treatment of cases,no MDA,no IRS,LARV,no IPTsc,ITN mass campaign,increase in CM and ITN,increase in CM and ITN-MRC,increase in CM and ITN and no IRS,85% treatment of cases-ITN mass campaign-no ITN continuous-no IRS-LARV-no MDA-no IPTsc,increase in CM and ITN-no IRS-LARV-no MDA-no IPTsc,increase in CM - ITN MRC-LARV,CM-85% MRC-50 LARV- MDA-,85% treatment of cases-ITN MRC cov 50-ITN continuous cov 0-no IRS-LARV-no IPTsc,3,0,0,0.8,LARV 80%,50-0,LARV
0.6057272-50-0-0-0-addMDA,0.6057272,0,50,0,0,addMDA,38,ITN mass campaign,no ITN continuous,mass-campaign,85% treatment of cases,MDA,no IRS,no LARV,no IPTsc,ITN mass campaign,increase in CM and ITN,increase in CM and ITN-MRC,increase in CM and ITN and no IRS,85% treatment of cases-ITN mass campaign-no ITN continuous-no IRS-no LARV-MDA-no IPTsc,increase in CM and ITN-no IRS-no LARV-MDA-no IPTsc,increase in CM - ITN MRC-MDA,CM-85% MRC-50 LARV- MDA-,85% treatment of cases-ITN MRC cov 50-ITN continuous cov 0-no IRS-no LARV-no IPTsc,3,0,0.95,0,MDA 95%,50-0,MDA
0.6057272-50-0-0-0-onlyCMandITN,0.6057272,0,50,0,0,onlyCMandITN,39,ITN mass campaign,no ITN continuous,mass-campaign,85% treatment of cases,no MDA,no IRS,no LARV,no IPTsc,ITN mass campaign,increase in CM and ITN,increase in CM and ITN-MRC,increase in CM and ITN and no IRS,85% treatment of cases-ITN mass campaign-no ITN continuous-no IRS-no LARV-no MDA-no IPTsc,increase in CM and ITN-no IRS-no LARV-no MDA-no IPTsc,increase in CM - ITN MRC,CM-85% MRC-50 LARV- MDA-,85% treatment of cases-ITN MRC cov 50-ITN continuous cov 0-no IRS-no LARV-no IPTsc,2,0,0,0,none,50-0,ITN/CM only
0.6057272-50-0-85-0-addLARV,0.6057272,0,50,0,85,addLARV,40,ITN mass campaign,no ITN continuous,mass-campaign,85% treatment of cases,no MDA,IRS,LARV,no IPTsc,ITN mass campaign,increase in CM and ITN,increase in CM and ITN-MRC,increase in CM and ITN and IRS,85% treatment of cases-ITN mass campaign-no ITN continuous-IRS-LARV-no MDA-no IPTsc,increase in CM and ITN-IRS-LARV-no MDA-no IPTsc,increase in CM - ITN MRC-IRS-LARV,CM-85% MRC-50 IRS-85 LARV- MDA-,85% treatment of cases-ITN MRC cov 50-ITN continuous cov 0-IRS-LARV-no IPTsc,4,0.85,0,0.8,LARV 80%,50-0,LARV & IRS
0.6057272-50-0-85-0-addMDA,0.6057272,0,50,0,85,addMDA,41,ITN mass campaign,no ITN continuous,mass-campaign,85% treatment of cases,MDA,IRS,no LARV,no IPTsc,ITN mass campaign,increase in CM and ITN,increase in CM and ITN-MRC,increase in CM and ITN and IRS,85% treatment of cases-ITN mass campaign-no ITN continuous-IRS-no LARV-MDA-no IPTsc,increase in CM and ITN-IRS-no LARV-MDA-no IPTsc,increase in CM - ITN MRC-IRS-MDA,CM-85% MRC-50 IRS-85 LARV- MDA-,85% treatment of cases-ITN MRC cov 50-ITN continuous cov 0-IRS-no LARV-no IPTsc,4,0.85,0.95,0,MDA 95%,50-0,MDA & IRS
0.6057272-50-0-85-0-onlyCMandITN,0.6057272,0,50,0,85,onlyCMandITN,42,ITN mass campaign,no ITN continuous,mass-campaign,85% treatment of cases,no MDA,IRS,no LARV,no IPTsc,ITN mass campaign,increase in CM and ITN,increase in CM and ITN-MRC,increase in CM and ITN and IRS,85% treatment of cases-ITN mass campaign-no ITN continuous-IRS-no LARV-no MDA-no IPTsc,increase in CM and ITN-IRS-no LARV-no MDA-no IPTsc,increase in CM - ITN MRC-IRS,CM-85% MRC-50 IRS-85 LARV- MDA-,85% treatment of cases-ITN MRC cov 50-ITN continuous cov 0-IRS-no LARV-no IPTsc,3,0.85,0,0,none,50-0,IRS
