District,Zone,Region,Population_2016,MIS_UMRC,Setting,Strata,Strata_withoutUrban,MISreg_CMeffectiveCoverage_2016
Muheza,Northern,Tanga,213606.8142,campaign after survey,Rural,high,high,49.122
Muleba,Lake,Kagera,617625.4176,campaign before survey,Rural,high,high,50.184
Musoma,Lake,Mara,198412.7143,campaign before survey,Rural,high,high,48.492
Musoma Urban,Lake,Mara,146543.6143,campaign before survey,Urban,urban,moderate,48.492
Mvomero,Eastern,Morogoro,336513.9158,campaign after survey,Rural,moderate,moderate,44.868
Mwanga,Northern,Kilimanjaro,138411.4251,campaign after survey,Rural,very low,Very low,35.226
Nachingwea,Southern,Lindi,185710.354,SNP before survey,Rural,high,high,54.972
Namtumbo,Southern Highlands,Ruvuma,213170.1324,SNP before survey,Rural,high,high,42.144
Nanyamba TC,Southern,Mtwara,98930.83411,SNP before survey,Mixed,high,high,47.292
Nanyumbu,Southern,Mtwara,159484.0614,SNP before survey,Rural,high,high,47.292
Newala DC,Southern,Mtwara,134115.2961,SNP before survey,Rural,high,high,47.292
Newala TC,Southern,Mtwara,80568.6361,SNP before survey,Mixed,moderate,moderate,47.292
Ngara,Lake,Kagera,314965.7475,campaign before survey,Rural,high,high,50.184
Ngorongoro,Northern,Arusha,196151.4244,campaign after survey,Rural,very low,Very low,48.342
Njombe,Southern Highlands,Njombe,86435.03667,campaign after survey,Rural,low,low,48.918
Njombe Urban,Southern Highlands,Njombe,137670.0646,campaign after survey,Mixed,very low,Very low,48.918
Nkasi,Southwest Highlands,Rukwa,316493.0774,campaign after survey,Rural,moderate,moderate,51.372
Nsimbo,Southwest Highlands,Katavi,145504.4519,campaign before survey,Rural,high,high,53.91
Nyamagana,Lake,Mwanza,450253.2969,campaign before survey,Urban,urban,low,46.068
Nyang'wale,Lake,Geita,164999.068,campaign before survey,Rural,high,high,52.332
Nyasa,Southern Highlands,Ruvuma,162596.169,SNP before survey,Rural,high,high,42.144
Nzega,Western,Tabora,461149.8575,campaign before survey,Rural,high,high,45.45
Nzega TC,Western,Tabora,80375.01759,campaign before survey,Mixed,high,high,45.45
Pangani,Northern,Tanga,58708.06196,campaign after survey,Rural,moderate,moderate,49.122
Rombo,Northern,Kilimanjaro,267282.7058,campaign after survey,Rural,very low,Very low,35.226
Rorya,Lake,Mara,287105.3886,campaign before survey,Rural,high,high,48.492
Ruangwa,Southern,Lindi,134254.3467,SNP before survey,Rural,high,high,54.972
Rufiji,Eastern,Pwani,97303.4781,campaign after survey,Rural,high,high,50.466
Rungwe,Southwest Highlands,Mbeya,248749.1044,campaign after survey,Rural,low,low,49.188
Same,Northern,Kilimanjaro,296655.9338,campaign after survey,Rural,low,low,35.226
Sengerema DC,Lake,Mwanza,740471.3472,campaign before survey,Rural,high,high,46.068
Serengeti,Lake,Mara,286215.1868,campaign before survey,Rural,high,high,48.492
Shinyanga,Lake,Shinyanga,360566.2579,campaign before survey,Rural,high,high,44.748
Shinyanga Urban,Lake,Shinyanga,173328.678,campaign before survey,Urban,urban,moderate,44.748
Siha,Northern,Kilimanjaro,129392.7764,campaign after survey,Rural,very low,Very low,35.226
Sikonge,Western,Tabora,202459.9013,campaign before survey,Rural,high,high,45.45
Simanjiro,Central,Manyara,196475.0313,campaign after survey,Rural,low,low,41.694
Singida,Central,Singida,241251.9322,campaign after survey,Rural,very low,Very low,54.234
Singida Urban,Central,Singida,167289.6093,campaign after survey,Urban,urban,Very low,54.234
Songea DC,Southern Highlands,Ruvuma,129509.242,SNP before survey,Rural,high,high,42.144
Songea Urban,Southern Highlands,Ruvuma,241523.0581,SNP before survey,Urban,urban,moderate,42.144
Songwe,Southwest Highlands,Songwe,152822.5969,campaign after survey,Rural,moderate,moderate,55.47
Sumbawanga,Southwest Highlands,Rukwa,393460.5875,campaign after survey,Rural,low,low,51.372
Sumbawanga Urban,Southwest Highlands,Rukwa,241674.0471,campaign after survey,Urban,urban,low,51.372
Tabora Urban,Western,Tabora,244748.8614,campaign before survey,Urban,urban,high,45.45
Tandahimba,Southern,Mtwara,237691.0058,SNP before survey,Rural,high,high,47.292
Tanga Urban,Northern,Tanga,286689.9898,campaign after survey,Urban,urban,moderate,49.122
Tarime,Lake,Mara,285343.6881,campaign before survey,Rural,high,high,48.492
Tarime TC,Lake,Mara,85134.21748,campaign before survey,Mixed,moderate,moderate,48.492
Temeke,Eastern,Daressalaam,1432358.04,campaign after survey,Urban,urban,low,50.544
Tunduma,Southwest Highlands,Songwe,124570.0827,campaign after survey,Mixed,very low,Very low,55.47
Tunduru,Southern Highlands,Ruvuma,321602.4988,SNP before survey,Rural,high,high,42.144
Ubungo MC,Eastern,Daressalaam,1023641.2,campaign after survey,Urban,urban,low,50.544
Ukerewe,Lake,Mwanza,385457.5543,campaign before survey,Rural,high,high,46.068
Ulanga,Eastern,Morogoro,171276.8285,campaign after survey,Rural,high,high,44.868
Urambo,Western,Tabora,222076.8304,campaign before survey,Rural,high,high,45.45
Ushetu,Lake,Shinyanga,294427.7081,campaign before survey,Rural,high,high,44.748
Uvinza,Western,Kigoma,431790.1999,campaign before survey,Rural,high,high,39.948
Uyui,Western,Tabora,453377.5906,campaign before survey,Rural,high,high,45.45
Wanging'ombe,Southern Highlands,Njombe,165734.6763,campaign after survey,Rural,very low,Very low,48.918
